"Year","depart","land","lat1","lon1","state.x","lat2","lon2","state.y"
1998,"PVD","JAX",41.732581,-71.420383,"Rhode Island",30.494056,-81.687861,"Florida"
1996,"ACY","MCO",39.457583,-74.577167,"New Jersey",28.429394,-81.308994,"Florida"
2009,"DAL","STL",32.847111,-96.851778,"Texas",38.748697,-90.370028,"Missouri"
2007,"IAH","LGA",29.984433,-95.341442,"Texas",40.777245,-73.872608,"New York"
2012,"IAH","PHX",29.984433,-95.341442,"Texas",33.434278,-112.011583,"Arizona"
2006,"CVG","DFW",39.048836,-84.667822,"Kentucky",32.896828,-97.037997,"Texas"
2010,"ONT","PBI",34.056,-117.601194,"California",26.683161,-80.095589,"Florida"
2006,"MDW","STL",41.785972,-87.752417,"Illinois",38.748697,-90.370028,"Missouri"
2013,"MHT","CLE",42.932556,-71.435667,"New Hampshire",41.411689,-81.849794,"Ohio"
2013,"DAL","BDL",32.847111,-96.851778,"Texas",41.938889,-72.683222,"Connecticut"
2013,"PVD","PHF",41.732581,-71.420383,"Rhode Island",37.131894,-76.492989,"Virginia"
2009,"MEM","SJC",35.042417,-89.976667,"Tennessee",37.3626,-121.929022,"California"
2013,"TYS","LGA",35.810972,-83.994028,"Tennessee",40.777245,-73.872608,"New York"
2002,"SWF","TPA",41.504094,-74.104839,"New York",27.975472,-82.53325,"Florida"
2014,"MSY","EWR",29.993389,-90.258028,"Louisiana",40.6925,-74.168667,"New Jersey"
1998,"IND","SWF",39.717331,-86.294383,"Indiana",41.504094,-74.104839,"New York"
2014,"DAL","ORF",32.847111,-96.851778,"Texas",36.894611,-76.201222,"Virginia"
2011,"DAL","MIA",32.847111,-96.851778,"Texas",25.79325,-80.290556,"Florida"
2006,"PIT","IAD",40.491467,-80.232872,"Pennsylvania",38.944533,-77.455811,"Virginia"
2014,"DFW","TUL",32.896828,-97.037997,"Texas",36.198389,-95.888111,"Oklahoma"
2003,"MDW","DTW",41.785972,-87.752417,"Illinois",42.212444,-83.353389,"Michigan"
2009,"LGB","EWR",33.817722,-118.151611,"California",40.6925,-74.168667,"New Jersey"
2014,"CVG","HOU",39.048836,-84.667822,"Kentucky",29.645419,-95.278889,"Texas"
2000,"DFW","BUR",32.896828,-97.037997,"Texas",34.200667,-118.358667,"California"
2014,"CLT","DFW",35.214,-80.943139,"North Carolina",32.896828,-97.037997,"Texas"
2008,"ISP","PIT",40.79525,-73.100222,"New York",40.491467,-80.232872,"Pennsylvania"
2002,"AUS","BOS",30.194528,-97.669889,"Texas",42.364347,-71.005181,"Massachusetts"
2002,"ORD","PHL",41.978603,-87.904842,"Illinois",39.871944,-75.241139,"Pennsylvania"
2001,"IAH","DCA",29.984433,-95.341442,"Texas",38.852083,-77.037722,"District of Columbia"
1997,"DTW","SAT",42.212444,-83.353389,"Michigan",29.533694,-98.469778,"Texas"
1993,"PDX","DCA",45.588722,-122.5975,"Oregon",38.852083,-77.037722,"District of Columbia"
2000,"CAE","DCA",33.938833,-81.119528,"South Carolina",38.852083,-77.037722,"District of Columbia"
2003,"PHX","DCA",33.434278,-112.011583,"Arizona",38.852083,-77.037722,"District of Columbia"
2010,"ALB","SFO",42.748267,-73.801692,"New York",37.618972,-122.374889,"California"
2004,"PDX","SJC",45.588722,-122.5975,"Oregon",37.3626,-121.929022,"California"
2005,"MHT","MIA",42.932556,-71.435667,"New Hampshire",25.79325,-80.290556,"Florida"
2003,"BNA","EWR",36.124472,-86.678194,"Tennessee",40.6925,-74.168667,"New Jersey"
1997,"HOU","MFE",29.645419,-95.278889,"Texas",26.175833,-98.238611,"Texas"
1993,"BOS","SAN",42.364347,-71.005181,"Massachusetts",32.733556,-117.189667,"California"
2001,"MKE","IAD",42.947222,-87.896583,"Wisconsin",38.944533,-77.455811,"Virginia"
2012,"PVD","DAL",41.732581,-71.420383,"Rhode Island",32.847111,-96.851778,"Texas"
2002,"ORD","DFW",41.978603,-87.904842,"Illinois",32.896828,-97.037997,"Texas"
2000,"SDF","IAD",38.1740858,-85.7364989,"Kentucky",38.944533,-77.455811,"Virginia"
1996,"SNA","OKC",33.675667,-117.868222,"California",35.393089,-97.600733,"Oklahoma"
2004,"BHM","FLL",33.562942,-86.75355,"Alabama",26.072583,-80.15275,"Florida"
2006,"BUR","SJC",34.200667,-118.358667,"California",37.3626,-121.929022,"California"
2002,"IAH","STL",29.984433,-95.341442,"Texas",38.748697,-90.370028,"Missouri"
2003,"DSM","IAD",41.533972,-93.663083,"Iowa",38.944533,-77.455811,"Virginia"
2002,"DTW","SAN",42.212444,-83.353389,"Michigan",32.733556,-117.189667,"California"
1993,"MHT","PDX",42.932556,-71.435667,"New Hampshire",45.588722,-122.5975,"Oregon"
